REG,AIRCRAFT TYPE,CONFIG,DELIVERED,REMARK,AGE
VT-BXJ,Boeing 737-8 MAX,C4Y174,21 Dec 2023,"lsd, ""Banarasi"" W tail",6.3 Years
VT-BXK,Boeing 737-8 MAX,C8Y168,21 Mar 2024,"lsd, ""Pattu"" tail",6.7 Years
VT-BXL,Boeing 737-8 MAX,C8Y168,1 Mar 2024,"lsd, ""Ikat"" W tail",4.1 Years
VT-BXM,Boeing 737-8 MAX,C8Y168,23 Apr 2024,"lsd, ""Kasavu"" W tail",6.6 Years
VT-BXN,Boeing 737-8 MAX,C8Y168,8 Mar 2024,"lsd, ""Aipan"" W tail",6.6 Years
VT-BXO,Boeing 737-8 MAX,C8Y168,19 Mar 2024,"lsd, ""Kasuti"" W tail",6.6 Years
VT-BXP,Boeing 737-8 MAX,C8Y168,4 Apr 2024,"lsd, ""Madhubani"" W tail",6.5 Years
VT-BXQ,Boeing 737-8 MAX,C8Y154,24 Jan 2024,"lsd, ""Bagh"" W tail",6.7 Years
VT-BXR,Boeing 737-8 MAX,C8Y154,2 Feb 2024,"lsd, ""Jamawar"" W tail",6.6 Years
VT-BXS,Boeing 737-8 MAX,C8Y154,30 Jan 2024,"lsd, ""Pichwai"" W tail",6.5 Years
VT-BXT,Boeing 737-8 MAX,C8Y168,9 Jul 2024,"lsd, ""Chikankari"" W tail",6.6 Years
VT-BXU,Boeing 737-8 MAX,C8Y168,24 May 2024,"lsd, ""Kantha"" W tail",6.6 Years
VT-BXV,Boeing 737-8 MAX,C8Y168,23 May 2024,"lsd, ""Sohrai"" W tail",6.4 Years
VT-BXW,Boeing 737-8 MAX,C8Y168,18 Jun 2024,"Parked / Maintenance, lsd, ""Puanchei"" tail",6.5 Years
VT-BXX,Boeing 737-8 MAX,C8Y168,19 Jun 2024,"lsd, ""Khneng"" tail",6.5 Years
VT-BXY,Boeing 737-8 MAX,C8Y168,28 Jun 2024,"lsd, ""Chanderi"" W tail",6.9 Years
VT-BXZ,Boeing 737-8 MAX,C8Y168,26 Apr 2024,"lsd, ""Saphee Lanphee"" W tail",6.8 Years
VT-RNT,Boeing 737-8 MAX,Y189,26 Dec 2025,"""Parsi Gara"" tail",0.3 Years
VT-,Boeing 737-8 MAX,,On Order,,Brand new
