REG,AIRCRAFT TYPE,CONFIG,DELIVERED,REMARK,AGE
9V-SWO,Boeing 777-312ER,F4C48W28Y184,28 Mar 2008,,17.9 Years
9V-SWP,Boeing 777-312ER,F4C48W28Y184,11 Apr 2008,,17.9 Years
9V-SWQ,Boeing 777-312ER,F4C48W28Y184,30 Apr 2008,,17.9 Years
9V-SWR,Boeing 777-312ER,F4C48W28Y184,23 May 2008,,17.8 Years
9V-SWS,Boeing 777-312ER,F4C48W28Y184,27 Jun 2008,,17.7 Years
9V-SWT,Boeing 777-312ER,F4C48W28Y184,30 Jan 2009,,17.1 Years
9V-SWU,Boeing 777-312ER,F4C48W28Y184,19 Sep 2013,,12.6 Years
9V-SWV,Boeing 777-312ER,F4C48W28Y184,26 Sep 2013,,12.5 Years
9V-SWW,Boeing 777-312ER,F4C48W28Y184,24 Mar 2014,,12 Years
9V-SWY,Boeing 777-312ER,F4C48W28Y184,24 Nov 2014,,11.4 Years
9V-SWZ,Boeing 777-312ER,F4C48W28Y184,27 Jan 2015,,11.1 Years
9V-,Boeing 777-9,,On Order,,
9V-,Boeing 777-9,,On Order,,
9V-,Boeing 777-9,,On Order,,
9V-,Boeing 777-9,,On Order,,
9V-,Boeing 777-9,,On Order,,
9V-,Boeing 777-9,Due,,0.6 Years
9V-,Boeing 777-9,,On Order,,
9V-,Boeing 777-9,,On Order,,
9V-,Boeing 777-9,,On Order,,
9V-,Boeing 777-9,,On Order,,
9V-DHA,Boeing 777-F,Cargo,3 Aug 2022,"lsd, opf DHL Aviation",3.6 Years
9V-DHB,Boeing 777-F,Cargo,31 Oct 2022,"lsd, opf DHL Aviation",3.3 Years
9V-DHC,Boeing 777-F,Cargo,7 Jul 2023,"lsd, opf DHL Aviation",2.7 Years
9V-DHD,Boeing 777-F,Cargo,28 Sep 2023,"lsd, opf DHL Aviation",2.5 Years
9V-DHE,Boeing 777-F,Cargo,24 Nov 2023,"lsd, opf DHL Aviation",2.3 Years
9V-SCA,Boeing 787-10 Dreamliner,C36Y301,14 Mar 2018,,8.1 Years
9V-SCB,Boeing 787-10 Dreamliner,C36Y301,2 Apr 2018,,8 Years
9V-SCC,Boeing 787-10 Dreamliner,C36Y301,4 May 2018,,7.9 Years
9V-SCD,Boeing 787-10 Dreamliner,C36Y301,7 May 2018,,7.8 Years
9V-SCE,Boeing 787-10 Dreamliner,C36Y301,1 Jun 2018,,7.8 Years
9V-SCF,Boeing 787-10 Dreamliner,C36Y301,26 Jun 2018,,7.7 Years
9V-SCG,Boeing 787-10 Dreamliner,C36Y301,29 Oct 2018,,8.7 Years
9V-SCH,Boeing 787-10 Dreamliner,C36Y301,24 Dec 2018,,9 Years
9V-SCI,Boeing 787-10 Dreamliner,C36Y301,7 Mar 2019,,7 Years
9V-SCJ,Boeing 787-10 Dreamliner,C36Y301,24 Apr 2019,lsd,6.9 Years
9V-SCK,Boeing 787-10 Dreamliner,C36Y301,1 May 2019,,6.9 Years
9V-SCL,Boeing 787-10 Dreamliner,C36Y301,23 Jun 2019,,6.7 Years
9V-SCM,Boeing 787-10 Dreamliner,C36Y301,13 Aug 2019,,6.6 Years
9V-SCN,Boeing 787-10 Dreamliner,C36Y301,4 Sep 2019,,6.5 Years
9V-SCO,Boeing 787-10 Dreamliner,C36Y301,29 Nov 2019,,6.3 Years
9V-SCP,Boeing 787-10 Dreamliner,C36Y301,27 Oct 2023,"Parked / Maintenance, ""1000th 787 Dreamliner"" sticker",5.9 Years
9V-SCQ,Boeing 787-10 Dreamliner,C36Y301,25 Sep 2024,,5.1 Years
9V-SCR,Boeing 787-10 Dreamliner,C36Y301,30 Aug 2023,,5 Years
9V-SCS,Boeing 787-10 Dreamliner,C36Y301,31 Mar 2023,,3 Years
9V-SCT,Boeing 787-10 Dreamliner,C36Y301,23 Jun 2023,,2.8 Years
9V-SCU,Boeing 787-10 Dreamliner,C36Y301,2 Sep 2023,,2.6 Years
9V-SCV,Boeing 787-10 Dreamliner,C36Y301,27 Nov 2023,,2.3 Years
9V-SCW,Boeing 787-10 Dreamliner,C36Y301,20 Dec 2023,,2.2 Years
9V-SCY,Boeing 787-10 Dreamliner,C36Y301,30 Jun 2024,,1.8 Years
9V-SCZ,Boeing 787-10 Dreamliner,C36Y301,11 Sep 2024,,1.6 Years
9V-SDA,Boeing 787-10 Dreamliner,C36Y301,24 Sep 2024,,1.5 Years
9V-SDB,Boeing 787-10 Dreamliner,C36Y301,31 Dec 2025,,0.2 Years
9V-SDC,Boeing 787-10 Dreamliner,C36Y301,25 Jan 2026,,Brand new
