REG,AIRCRAFT TYPE,CONFIG,DELIVERED,EXIT DATE,STATUS / FATE,REMARK
VT-TVI,Airbus A321-251NX,C12W24Y152,10 May 2023,12 Nov 2024,VT-TVI Air India,lsd
VT-TVJ,Airbus A321-251NX,C12W24Y152,23 May 2023,12 Nov 2024,VT-TVJ Air India,lsd
VT-TGA,Boeing 737-8AL(WL),C12Y156,28 May 2019,23 Nov 2022,2-TTGA World Star Aviation,lsd
VT-TGB,Boeing 737-8AL(WL),C12Y156,24 May 2019,7 Apr 2023,2-TTGB BOC Aviation,lsd
VT-TGC,Boeing 737-85R(WL),C12Y156,13 Jun 2019,3 Jan 2020,2-BTTA BBAM,lsd
VT-TGD,Boeing 737-8AL(WL),C12Y156,28 May 2019,26 Aug 2021,2-VTGD BOC Aviation,lsd
VT-TGE,Boeing 737-8AL(WL),C12Y156,26 Jun 2019,26 Jul 2023,T7-L061 BOC Aviation,lsd
VT-TGF,Boeing 737-85R(WL),C12Y156,14 Jun 2019,17 Jan 2020,2-BTTB BBAM,lsd
VT-TGG,Boeing 737-8AL(WL),C12Y156,13 Aug 2019,22 Nov 2022,VT-TGG Air India Express,lsd
VT-TGH,Boeing 737-8AL(WL),C12Y156,25 Jul 2019,5 Jan 2023,VT-TGH Air India Express,lsd
VT-TGI,Boeing 737-86N(WL),C12Y156,28 Aug 2019,28 May 2020,N592CC GECAS,lsd
VT-TSD,Boeing 787-9 Dreamliner,C30W21Y248,28 Feb 2020,12 Nov 2024,VT-TSD Air India,
VT-TSE,Boeing 787-9 Dreamliner,C30W21Y248,14 Aug 2020,12 Nov 2024,VT-TSE Air India,
VT-TSH,Boeing 787-9 Dreamliner,C30W21Y248,28 Nov 2023,12 Nov 2024,VT-TSH Air India,lsd
VT-TSN,Boeing 787-9 Dreamliner,C30W21Y248,27 Mar 2024,12 Nov 2024,VT-TSN Air India,
VT-TSO,Boeing 787-9 Dreamliner,C30W21Y248,31 Aug 2023,12 Nov 2024,VT-TSO Air India,lsd
VT-TSP,Boeing 787-9 Dreamliner,C30W21Y248,28 Mar 2023,12 Nov 2024,VT-TSP Air India,lsd
VT-TSQ,Boeing 787-9 Dreamliner,C30W36Y226,28 Oct 2022,12 Nov 2024,VT-TSQ Air India,lsd
