REG,AIRCRAFT TYPE,CONFIG,DELIVERED,REMARK,AGE
A6-EGG,Boeing 777-31HER,F8C42Y310,11 Oct 2011,,14.4 Years
A6-EGH,Boeing 777-31HER,F8C42Y304,20 Oct 2011,,14.4 Years
A6-EGI,Boeing 777-31HER,F8C42Y304,10 Nov 2011,lsd,14.3 Years
A6-EGJ,Boeing 777-31HER,F8C42Y310,8 Dec 2011,lsd,14.3 Years
A6-EGK,Boeing 777-31HER,F8C42Y310,15 Dec 2011,lsd,14.3 Years
A6-EGL,Boeing 777-31HER,F8C42Y310,29 Dec 2011,,14.2 Years
A6-EGM,Boeing 777-31HER,F8C42Y310,24 Jan 2012,lsd,14.2 Years
A6-EGN,Boeing 777-31HER,F8C42Y310,29 Feb 2012,lsd,14 Years
A6-EGO,Boeing 777-31HER,F8C42Y310,20 Mar 2012,,14 Years
A6-EGP,Boeing 777-31HER,F8C42Y310,8 May 2012,,13.9 Years
A6-EGQ,Boeing 777-31HER,F8C42Y310,16 May 2012,lsd,13.8 Years
A6-EGR,Boeing 777-31HER,F8C42Y310,30 May 2012,lsd,13.8 Years
A6-EGS,Boeing 777-31HER,F8C42Y310,11 Jun 2012,,13.7 Years
A6-EGT,Boeing 777-31HER,F8C42Y310,29 Jun 2012,lsd,13.7 Years
A6-EGU,Boeing 777-31HER,F8C42Y310,13 Jul 2012,lsd,13.7 Years
A6-EGV,Boeing 777-31HER,F8C42Y310,31 Jul 2012,,13.6 Years
A6-EGW,Boeing 777-31HER,F8C42Y310,10 Aug 2012,,13.6 Years
A6-EGX,Boeing 777-31HER,F8C42Y310,31 Aug 2012,,13.6 Years
A6-EGY,Boeing 777-31HER,F8C42Y310,5 Sep 2012,lsd,13.6 Years
A6-EGZ,Boeing 777-31HER,F8C42Y310,30 Sep 2012,lsd,13.5 Years
A6-ENA,Boeing 777-31HER,C35Y386,16 Oct 2012,,13.5 Years
A6-ENB,Boeing 777-31HER,C35Y386,16 Nov 2012,,13.4 Years
A6-ENC,Boeing 777-31HER,C35Y386,30 Nov 2012,lsf Commerzbank,13.3 Years
A6-END,Boeing 777-31HER,C35Y386,14 Dec 2012,,13.3 Years
A6-ENE,Boeing 777-31HER,F8C42Y310,23 Jan 2013,,13.1 Years
A6-ENF,Boeing 777-31HER,C35Y386,31 Jan 2013,lsd,13.1 Years
A6-ENG,Boeing 777-31HER,F8C42Y310,19 Feb 2013,,13.1 Years
A6-ENH,Boeing 777-31HER,C35Y386,1 Mar 2013,,13.1 Years
A6-ENI,Boeing 777-31HER,C35Y386,26 Mar 2013,,13 Years
A6-ENJ,Boeing 777-31HER,F8C42Y310,17 May 2013,,12.9 Years
A6-ENK,Boeing 777-31HER,F8C42Y310,25 Jul 2013,,12.7 Years
A6-ENL,Boeing 777-31HER,F8C42Y310,30 Aug 2013,,12.6 Years
A6-ENM,Boeing 777-31HER,F8C42Y310,24 Jan 2014,,12.2 Years
A6-ENN,Boeing 777-31HER,F8C42Y310,21 Feb 2014,,12.1 Years
A6-ENO,Boeing 777-31HER,C35Y386,19 Mar 2014,,12 Years
A6-ENP,Boeing 777-31HER,F8C42Y310,24 Apr 2014,,11.9 Years
A6-ENQ,Boeing 777-31HER,F8C42Y310,27 May 2014,,11.8 Years
A6-ENR,Boeing 777-31HER,F8C40W24Y260,11 Jun 2014,,11.8 Years
A6-ENS,Boeing 777-31HER,F8C40W24Y260,29 Jul 2014,,11.7 Years
A6-ENT,Boeing 777-31HER,F8C40W24Y260,15 Aug 2014,,11.6 Years
A6-ENU,Boeing 777-31HER,F8C40W24Y260,29 Sep 2014,,11.5 Years
A6-ENV,Boeing 777-31HER,F8C40W24Y260,28 Oct 2014,,11.4 Years
A6-ENW,Boeing 777-31HER,C35Y386,13 Nov 2014,,11.4 Years
A6-ENX,Boeing 777-31HER,F8C40W24Y260,19 Dec 2014,,11.3 Years
A6-ENY,Boeing 777-31HER,C35Y386,3 Mar 2015,lsd,11.1 Years
A6-ENZ,Boeing 777-31HER,F8C42Y310,14 Apr 2015,,11 Years
A6-EPA,Boeing 777-31HER,F8C40W24Y260,31 Aug 2015,,10.7 Years
A6-EPB,Boeing 777-31HER,F8C40W24Y260,31 Aug 2015,,10.6 Years
A6-EPC,Boeing 777-31HER,F8C40W24Y260,30 Sep 2015,,10.5 Years
A6-EPD,Boeing 777-31HER,F8C40W24Y260,19 Oct 2015,,10.5 Years
A6-EPE,Boeing 777-31HER,C35Y386,25 Nov 2015,,10.4 Years
A6-EPF,Boeing 777-31HER,F8C40W24Y260,20 Nov 2015,,10.3 Years
A6-EPG,Boeing 777-31HER,C35Y386,11 Dec 2015,,10.3 Years
A6-EPH,Boeing 777-31HER,F8C40W24Y260,18 Dec 2015,,10.3 Years
A6-EPI,Boeing 777-31HER,F8C40W24Y260,15 Jan 2016,,10.2 Years
A6-EPJ,Boeing 777-31HER,F8C40W24Y260,12 Feb 2016,,10.1 Years
A6-EPK,Boeing 777-31HER,F8C40W24Y260,16 Mar 2016,,10.1 Years
A6-EPL,Boeing 777-31HER,F8C40W24Y260,15 Apr 2016,,9.9 Years
A6-EPM,Boeing 777-31HER,F8C40W24Y260,20 May 2016,,9.8 Years
A6-EPN,Boeing 777-31HER,F8C40W24Y260,30 Jun 2016,Parked / Maintenance,9.7 Years
A6-EPO,Boeing 777-31HER,F8C40W24Y260,28 Jul 2016,lsd,9.6 Years
A6-EPP,Boeing 777-31HER,F8C40W24Y260,29 Jul 2016,,9.6 Years
A6-EPQ,Boeing 777-31HER,C35Y386,19 Aug 2016,lsd,9.6 Years
A6-EPR,Boeing 777-31HER,C35Y386,23 Sep 2016,lsd,9.5 Years
A6-EPS,Boeing 777-31HER,F8C40W24Y260,29 Sep 2016,,9.5 Years
A6-EPT,Boeing 777-31HER,C35Y386,17 Oct 2016,,9.5 Years
A6-EPU,Boeing 777-31HER,F8C40W24Y260,4 Nov 2016,,9.4 Years
A6-EPV,Boeing 777-31HER,F8C40W24Y256,19 Dec 2016,,9.3 Years
A6-EPW,Boeing 777-31HER,F8C40W24Y256,21 Dec 2016,,9.3 Years
A6-EPX,Boeing 777-31HER,F8C40W24Y256,23 Dec 2016,,9.2 Years
A6-EPY,Boeing 777-31HER,F8C40W24Y256,10 Feb 2017,,9.2 Years
A6-EPZ,Boeing 777-31HER,F8C40W24Y256,31 Mar 2017,,9.1 Years
A6-EQA,Boeing 777-31HER,F8C40W24Y256,31 Mar 2017,,9 Years
A6-EQB,Boeing 777-31HER,F8C40W24Y256,30 May 2017,,8.8 Years
A6-EQC,Boeing 777-31HER,F8C40W24Y256,12 Jun 2017,,8.8 Years
A6-EQD,Boeing 777-31HER,F8C40W24Y256,23 Jun 2017,,8.7 Years
A6-EQE,Boeing 777-31HER,F8C40W24Y256,18 Aug 2017,,8.6 Years
A6-EQF,Boeing 777-31HER,F8C40W24Y256,30 Aug 2017,lsd,8.5 Years
A6-EQG,Boeing 777-31HER,F8C40W24Y256,28 Sep 2017,,8.5 Years
A6-EQH,Boeing 777-31HER,F6C38W24Y256,3 Nov 2017,lsd,8.4 Years
A6-EQI,Boeing 777-31HER,F6C38W24Y256,30 Nov 2017,,8.3 Years
A6-EQJ,Boeing 777-31HER,F6C38W24Y256,29 Dec 2017,,8.2 Years
A6-EQK,Boeing 777-31HER,F6C38W24Y256,7 May 2018,,7.9 Years
A6-EQL,Boeing 777-31HER,F6C38W24Y256,14 Jun 2018,,7.8 Years
