REG,AIRCRAFT TYPE,CONFIG,DELIVERED,REMARK,AIRCRAFT NAME,AGE
F-GKXS,Airbus A320-214,CY174,25 Mar 2009,lsd,Saint-Laurent-du-Maroni W,17 Years
F-GKXT,Airbus A320-214,CY174,22 Mar 2019,lsd,Le Diamant W,16.9 Years
F-GKXU,Airbus A320-214,CY174,28 Oct 2009,lsd,Saint-Barth W,16.4 Years
F-GKXV,Airbus A320-214,CY174,27 Jun 2019,lsd,Marie-Galante W,16.3 Years
F-GKXY,Airbus A320-214,CY174,27 Jun 2019,Parked / Maintenance, lsd,Mazamet W,16.3 Years
F-GKXZ,Airbus A320-214,CY174,15 Dec 2009,lsd,Saint-Raphaël W,16.3 Years
F-HBNB,Airbus A320-214,CY178,8 Sep 2010,,Uzès W,15.6 Years
F-HBND,Airbus A320-214,CY178,9 Mar 2011,lsd,Albert-Méaulte,15.1 Years
F-HBNE,Airbus A320-214,CY178,14 Apr 2011,lsd,Lourdes W,14.9 Years
F-HBNG,Airbus A320-214,CY178,28 Jun 2011,lsd,,14.7 Years
F-HBNH,Airbus A320-214,CY178,6 Sep 2014,lsd,,14.6 Years
F-HBNJ,Airbus A320-214,CY178,23 Nov 2011,lsd,,14.3 Years
F-HEPA,Airbus A320-214,CY174,16 Dec 2009,,La Baule-Escoublac W,16.3 Years
F-HEPB,Airbus A320-214,CY174,26 Mar 2010,lsd,Kourou W,16 Years
F-HEPC,Airbus A320-214,CY174,27 Jun 2019,lsd,Basse-Terre W,15.9 Years
F-HEPD,Airbus A320-214,CY174,17 May 2010,lsd,Auxerre W,15.9 Years
F-HEPE,Airbus A320-214,CY174,17 May 2010,lsd,Valence W,15.9 Years
F-HEPF,Airbus A320-214(WL),C14Y144,22 Aug 2013,lsd,Cognac W,12.6 Years
F-HEPG,Airbus A320-214(WL),CY174,17 Oct 2013,lsd,Dinard W,12.4 Years
F-HEPH,Airbus A320-214(WL),CY174,3 Dec 2013,lsd,Istres W,12.3 Years
F-HEPI,Airbus A320-214(WL),CY174,7 Jul 2017,,Dugny W,8.7 Years
F-HEPJ,Airbus A320-214(WL),CY174,20 Oct 2017,,Le Mesnil-Amelot W,8.4 Years
F-HEPK,Airbus A320-214(WL),CY174,7 Mar 2018,,,8 Years
F-HZFM,Airbus A320-214,,6 Dec 2019,lsd,Figari W,12.3 Years
F-GMZC,Airbus A321-111,CY212,1 Apr 1997,,Nancy W,31 Years
F-GMZD,Airbus A321-111,CY212,1 Apr 1997,,Toulon W,30.9 Years
F-GTAJ,Airbus A321-212,CY212,28 Jun 2019,,Ajaccio W,24.9 Years
F-GTAK,Airbus A321-212,CY212,27 Jun 2019,lsd,Meaux W,24.2 Years
F-GTAM,Airbus A321-212,CY212,27 Jun 2019,,Calvi W,23.3 Years
F-GTAP,Airbus A321-212,CY212,21 Jan 2008,"Parked at LFBF, lsd",Épinal W,18.1 Years
F-GTAQ,Airbus A321-212,CY212,12 Feb 2008,lsd,Clermont-Ferrand W,18.1 Years
F-GTAS,Airbus A321-212,CY212,27 Jun 2019,"Parked at HHN, lsd",Castres W,18 Years
