REG,AIRCRAFT TYPE,CONFIG,DELIVERED,EXIT DATE,STATUS / FATE,REMARK,AIRCRAFT NAME
N796FT,McDonnell Douglas DC-8-63CF,,16 Aug 1981,25 Nov 1982,N796FT Flying Tigers,lsf Flying Tigers,
N816EV,McDonnell Douglas DC-8-73CF,Cargo,Jan 1988,Nov 1988,N816EV Evergreen International Airlines,lsf Evergreen International Airlines,
N865F,McDonnell Douglas DC-8-63CF,,Sep 1983,Jul 1984,N865F Emery Worldwide Airlines,lsf Overseas National Airways (ONA),
N874SJ,McDonnell Douglas DC-8-73CF(F),Cargo,25 Jun 1994,Aug 1995,N874SJ Southern Air Transport,lsf Southern Air Transport,
N875SJ,McDonnell Douglas DC-8-73(F),Cargo,24 Oct 1994,20 Feb 1995,N875SJ Australian airExpress,lsf Southern Air Transport,
N906R,McDonnell Douglas DC-8-63CF,,Feb 1985,Mar 1986,N906R Emery Worldwide Airlines,lsf National Airlines,
N921R,McDonnell Douglas DC-8-63CF,,Aug 1984,Nov 1984,N921R National Airlines,lsf National Airlines,
TF-FLC,McDonnell Douglas DC-8-63CF,Cargo,2 Jul 1985,25 Jul 1986,"TF-FLC Saudia - Saudi Arabian Airlines",lsf Evergreen International Airlines,
V2-LEJ,Lockheed L-1011 TriStar 500 (L-1011-385-3),C28Y225,Nov 1995,Nov 1996,V2-LEJ Caribjet,lsf Caribjet,
V2-LEK,Lockheed L-1011 TriStar 500 (L-1011-385-3),C28Y225,Dec 1995,Nov 1996,V2-LEK Caribjet,lsf Caribjet,
V2-LEO,Lockheed L-1011 TriStar 500 (L-1011-385-3),C28Y225,Aug 1996,Sep 1996,V2-LEO Caribjet,lsf Caribjet,
