REG,AIRCRAFT TYPE,CONFIG,DELIVERED,REMARK,AIRCRAFT NAME,AGE
VT-TVC,Airbus A321-251NX,C12W24Y152,12 Nov 2024,lsd,,4.8 Years
VT-TVD,Airbus A321-251NX,C12W24Y152,12 Nov 2024,lsd,,4.5 Years
VT-TVE,Airbus A321-251NX,C12W24Y152,12 Nov 2024,lsd,,3.8 Years
VT-TVF,Airbus A321-251NX,C12W24Y152,12 Nov 2024,lsd,,3.1 Years
VT-TVG,Airbus A321-251NX,C12W24Y152,12 Nov 2024,lsd,,3.1 Years
VT-TVH,Airbus A321-251NX,C12W24Y152,12 Nov 2024,lsd,,3 Years
VT-TVI,Airbus A321-251NX,C12W24Y152,12 Nov 2024,lsd,,2.9 Years
VT-TVJ,Airbus A321-251NX,C12W24Y152,12 Nov 2024,lsd,,2.8 Years
VT-JRA,Airbus A350-941,C28W24Y264,21 Dec 2023,lsd,,2.6 Years
VT-JRB,Airbus A350-941,C28W24Y264,2 Feb 2024,lsd,,2.5 Years
VT-JRE,Airbus A350-941,C28W24Y264,15 Mar 2024,,,2.4 Years
VT-JRF,Airbus A350-941,C28W24Y264,2 Apr 2024,lsd,,2.4 Years
VT-JRH,Airbus A350-941,C28W24Y264,23 Feb 2024,lsd,,2.3 Years
VT-JRI,Airbus A350-941,C28W24Y264,15 Apr 2024,lsd,,2.3 Years
VT-JRO,Airbus A350-1041,,On Order,,,0.2 Years
VT-AEI,Boeing 777-232LR,C28W48Y212,14 Jun 2023,lsd,Uday / उदय,16.8 Years
VT-AEM,Boeing 777-3FXER,F8C40Y280,25 Jan 2024,lsd,Sharika / शारिका,13.8 Years
VT-AEN,Boeing 777-3FXER,F8C40Y280,8 Feb 2024,lsd,Dhyuti / द्युति,13.2 Years
VT-AEO,Boeing 777-3FXER,F8C40Y280,28 Feb 2024,lsd,Tvisha,13.2 Years
VT-AEP,Boeing 777-3FXER,F8C40Y280,8 Jan 2024,lsd,Nitya / नित्या,13 Years
VT-AEQ,Boeing 777-3FXER,F8C40Y280,11 Oct 2023,,साध्वी / Sadhvi,12.8 Years
VT-AER,Boeing 777-3FXER,F8C40Y280,21 Jul 2023,,क्रिया / Kriyā,12.3 Years
VT-ALJ,Boeing 777-337ER,F4C35Y303,9 Oct 2007,Star Alliance W cs,बिहार / Bihar W,18.4 Years
VT-ALK,Boeing 777-337ER,F4C35Y303,30 Oct 2007,,छत्तीसगढ़ / Chattisgarh W,18.4 Years
VT-ALL,Boeing 777-337ER,F4C35Y303,17 Dec 2007,Parked at NAG,गोवा / Goa W,18.2 Years
VT-ALM,Boeing 777-337ER,F4C35Y303,4 Jun 2008,Parked / Maintenance,हिमाचल प्रदेश / Himachal Pradesh W,17.8 Years
VT-ALN,Boeing 777-337ER,F4C35Y303,11 Jul 2008,Celebrating India sticker,जम्मू एवं कश्मीर / Jammu and Kashmir W,17.7 Years
VT-ALO,Boeing 777-337ER,F4C35Y303,13 Jul 2009,,कर्नाटक / Karnataka W,16.7 Years
VT-ALP,Boeing 777-337ER,F4C35Y303,25 Aug 2009,,मध्य प्रदेश / Madhya Pradesh W,16.6 Years
VT-ALQ,Boeing 777-337ER,F4C35Y303,31 Aug 2009,,मणिपुर / Manipur W,16.5 Years
VT-ALR,Boeing 777-337ER,F4C35Y303,28 Sep 2009,,मेघालय / Meghalaya W,16.5 Years
VT-ALS,Boeing 777-337ER,F4C35Y303,30 Apr 2010,,मिजोरम / Mizoram W,15.9 Years
VT-ALT,Boeing 777-337ER,F4C35Y303,24 May 2010,,नागालैंड / Nagaland W,15.8 Years
VT-ALU,Boeing 777-337ER,F4C35Y303,12 Jul 2010,,ओडिशा / Odisha W,15.7 Years
VT-ALX,Boeing 777-337ER,F4C35Y303,8 Mar 2018,,सिक्किम / Sikkim W,8.1 Years
VT-ANA,Boeing 787-8 Dreamliner,C18Y238,7 Mar 2014,Parked / Maintenance,,12.1 Years
VT-ANC,Boeing 787-8 Dreamliner,C18Y238,20 Jun 2014,"Parked / Maintenance, 75th Anniversary sticker",,11.8 Years
VT-AND,Boeing 787-8 Dreamliner,C18Y238,18 Sep 2012,,,14.6 Years
VT-ANE,Boeing 787-8 Dreamliner,C18Y238,3 Dec 2013,,,12.3 Years
VT-ANG,Boeing 787-8 Dreamliner,C18Y238,1 Nov 2013,,,12.4 Years
VT-ANH,Boeing 787-8 Dreamliner,C18Y238,5 Sep 2012,,,14.1 Years
VT-ANI,Boeing 787-8 Dreamliner,C18Y238,5 Oct 2012,,,13.8 Years
VT-ANJ,Boeing 787-8 Dreamliner,C18Y238,28 Mar 2013,Parked / Maintenance,,13.5 Years
VT-ANK,Boeing 787-8 Dreamliner,C18Y238,19 Dec 2012,,,13.4 Years
VT-ANL,Boeing 787-8 Dreamliner,C18Y238,28 Dec 2012,,,13.3 Years
VT-ANM,Boeing 787-8 Dreamliner,C18Y238,18 Jun 2013,,,13.2 Years
VT-ANN,Boeing 787-8 Dreamliner,C18Y238,26 Aug 2013,,,12.8 Years
VT-ANO,Boeing 787-8 Dreamliner,C18Y238,1 Oct 2013,,,12.7 Years
VT-ANP,Boeing 787-8 Dreamliner,,2 Jun 2014,"Seating reconfiguration at VCV, Mahatma Gandhi W tail",,11.9 Years
VT-ANQ,Boeing 787-8 Dreamliner,C18Y238,17 Jul 2014,"Guru Nanak - 550 Years Celebration W tail",,11.7 Years
VT-ANR,Boeing 787-8 Dreamliner,C18Y238,29 Sep 2014,,,11.5 Years
VT-ANS,Boeing 787-8 Dreamliner,C18Y238,11 Dec 2014,,,11.4 Years
VT-ANT,Boeing 787-8 Dreamliner,,17 Feb 2015,Seating reconfiguration at VCV,,11.2 Years
VT-ANU,Boeing 787-8 Dreamliner,C18Y238,31 Mar 2015,Star Alliance W cs,,11 Years
VT-ANV,Boeing 787-8 Dreamliner,C18Y238,26 Jun 2015,,,10.7 Years
